Year,oil_brent,oil_dubai,coffee_arabica,coffee_robustas,tea_columbo,tea_kolkata,tea_mombasa,sugar_eu,sugar_us,sugar_world
1980,37.89166704813667,35.84583282470667,3.466283333333333,3.2432166666666666,1.1113644999999999,2.04935325,1.817127,0.486890327,0.6620841296666667,0.6316083333333333
1981,36.675833066304165,34.29416624705083,2.8685500000000004,2.2402166666666665,0.9732728916666668,1.8130886666666666,1.6242095,0.4172794505,0.434971526,0.3740833333333333
1982,33.4183328946425,31.756666819255,3.0875583333333334,2.42365,1.1449704333333333,1.846399,1.6385409166666667,0.39945877216666664,0.43925216316666665,0.18564166666666668
1983,29.829167048136668,28.729166666666668,2.911258333333333,2.7316416666666665,1.8571548333333334,2.5200430833333334,1.91409975,0.387241503,0.48587987616666667,0.186725
1984,28.8016665776575,27.493333339691663,3.188658333333333,3.0367833333333336,2.5003454166666668,2.9145965,2.809678,0.36269673366666666,0.479284388,0.11466666666666665
1985,27.329166666666666,26.458333333333332,3.2307916666666667,2.648633333333333,1.4566860000000001,2.203250666666667,1.58850425,0.3503876053333333,0.4487136573333333,0.08946666666666668
1986,14.770833333333334,13.195833333333333,4.292583333333334,3.2447583333333334,1.1085275166666666,2.16296775,1.70724625,0.410169551,0.4603062841666667,0.133375
1987,18.341666666666665,16.9375,2.504983333333333,2.2483416666666667,1.34895725,2.294533916666667,1.3101749999999999,0.4726271163575,0.4813052818191667,0.14895833333333333
1988,14.970833333333333,13.216666666666667,3.0337083333333332,2.0791833333333334,1.3618249166666667,2.0126899166666665,1.35949075,0.5250412467766666,0.48768033125166665,0.22466666666666665
1989,18.216666666666665,15.704166666666666,2.3873083333333334,1.6556166666666667,1.5292939166666668,2.4274834166666666,1.5177699166666665,0.501607943365,0.5027635977266667,0.28205833333333336
1990,23.683333333333334,20.462500000000002,1.9722,1.181725,1.8772818333333332,2.8088911666666667,1.4863510833333333,0.5831844893025,0.5126292702658334,0.276675
1991,20.066666666666666,16.5625,1.8733916666666666,1.071925,1.4298198333333332,2.16314575,1.4290689166666668,0.6121020664175,0.47515086762833336,0.1975916666666667
1992,19.3125,17.1875,1.4119166666666667,0.940425,1.4443060833333332,1.6903466666666667,1.678044833333333,0.627763675185,0.4695893694875,0.1995916666666667
1993,17.020833333333332,14.941666666666668,1.5602,1.157375,1.4423389166666667,1.8446903333333333,1.5575,0.6194833333333333,0.476475,0.220975
1994,15.83,14.666666666666666,3.3076416666666666,2.619683333333333,1.3309511666666667,1.5748128333333333,1.5708333333333335,0.6216666666666667,0.485675,0.26698333333333335
1995,17.065833333333334,16.115,3.3323249999999995,2.7707083333333333,1.42214975,1.7423925,1.3014166666666667,0.6879833333333334,0.5081916666666667,0.29278333333333334
1996,20.650000000000002,18.54,2.6942083333333335,1.8059416666666668,1.88911925,1.6695754999999999,1.4229500000000002,0.6831333333333333,0.49291666666666667,0.263575
1997,19.090208333333333,18.097083333333334,4.167941666666667,1.7360749999999998,2.0201190833333333,2.1449734166666667,2.0152639166666666,0.6272333333333333,0.4836416666666667,0.25065
1998,12.716541666666666,12.127583333333334,2.9813166666666664,1.8225833333333334,2.07464225,2.16464175,1.8989277500000001,0.5974833333333334,0.48641666666666666,0.196725
1999,17.808333333333334,17.165,2.2905833333333336,1.4887583333333332,1.649325,2.0679,1.8002,0.5917333333333333,0.46598333333333336,0.13809166666666667
2000,28.27291590909083,26.084117424242503,1.9196666666666669,0.9130250000000001,1.7933416666666666,1.8060166666666666,2.028566666666667,0.5551581259749999,0.42759166666666665,0.18035833333333331
2001,24.421571535889168,22.71482058943417,1.3731166666666665,0.607175,1.6166083333333334,1.6611500000000001,1.5166666666666666,0.528650790195,0.4703583333333334,0.19039166666666665
2002,24.969477707773333,23.720599935141667,1.3566083333333332,0.6617833333333333,1.5620166666666666,1.4638916666666668,1.4920833333333334,0.5491721280283334,0.46137500000000004,0.15182500000000002
2003,28.8513905828475,26.738140786749998,1.4153853333333333,0.8144968499999999,1.5410881666666667,1.4652122499999998,1.5436249999999998,0.5971449635566667,0.47371148333333335,0.15630196666666665
2004,38.300679681746665,33.455866083193335,1.7739842266666666,0.7930385576666666,1.7809365237708334,1.7216210891008332,1.55425,0.6696875041916667,0.4546786948291666,0.15798607550000002
